state,year,margin_of_victory_prev
AK,12,0.21535145939416983
AK,16,0.13988918284830032
AK,20,0.14730640787425298
AK,24,0.10061190999360281
AL,12,0.2157647873459569
AL,16,0.22186789231070347
AL,20,0.27725146606435425
AL,24,0.2546165295474247
AR,12,0.19851244734805362
AR,16,0.23687945782389008
AR,20,0.2692097803446736
AR,24,0.2762066790312936
AZ,12,0.08519996947862962
AZ,16,0.09064766224175319
AZ,20,0.2610778943441248
AZ,24,0.0030870958390187275
CA,12,0.24057779514669775
CA,16,0.2311858062098484
CA,20,0.3010929306611845
CA,24,0.2916322326858859
CO,12,0.08952714731354428
CO,16,0.05365134912567193
CO,20,0.049055830114163645
CO,24,0.13406941505740883
CT,12,0.22367366370494873
CT,16,0.17339899011939386
CT,20,0.1363938671789509
CT,24,0.200736132273528
DC,12,0.8592455229017539
DC,16,0.8363482251058673
DC,20,0.8641350075981764
DC,24,0.8675237254469212
DE,12,0.2499563543252864
DE,16,0.18628137911039166
DE,20,0.11430512466314913
DE,24,0.18968129022536118
FL,12,0.028179861046886856
FL,16,0.00876887306723162
FL,20,0.011986256107856863
FL,24,0.03358368897061803
GA,12,0.052143388968644566
GA,16,0.0782128251064243
GA,20,0.05131342697410185
GA,24,0.002355818846550728
HI,12,0.4501670818130788
HI,16,0.4246578476023598
HI,20,0.31541090882503475
HI,24,0.29194665599602604
IA,12,0.0953476071856319
IA,16,0.05810148023612988
IA,20,0.09409547899181131
IA,24,0.0815296477328204
ID,12,0.2542610384020076
ID,16,0.3190744993668305
ID,20,0.3176941854821768
ID,24,0.30771162677099684
IL,12,0.2513719197786603
IL,16,0.1686939409166019
IL,20,0.17063613624968027
IL,24,0.16988194558502084
IN,12,0.010320044608357393
IN,16,0.10198229476166054
IN,20,0.19165193761659233
IN,24,0.16059480705992973
KS,12,0.14960287149478269
KS,16,0.21716749815297104
KS,20,0.2060221107360508
KS,24,0.14652959295432572
KY,12,0.16230907358947128
KY,16,0.22691813764875823
KY,20,0.2983745021825233
KY,24,0.259350570581364
LA,12,0.18629807508411272
LA,16,0.172071121051721
LA,20,0.1963911855505483
LA,24,0.18609425612482317
MA,12,0.2562823981347053
MA,16,0.2301918600488161
MA,20,0.2676386230581614
MA,24,0.33214826114234397
