state,year,oct_unemp,nov_unemp,percapita_personalincome
AL,10,10.1,10.1,33848
AL,12,7.8,7.8,35559
AL,14,6.4,6.3,36722
AL,18,3.8,3.8,41324
AL,20,5.2,4.8,45843
AL,22,2.5,2.4,51660
AL,24,3.1,3.1,56684
AK,10,7.9,7.9,49543
AK,12,7.0,7.0,53340
AK,14,6.6,6.4,55098
AK,18,6.0,6.0,58997
AK,20,7.2,7.0,61853
AK,22,4.1,4.1,68905
AK,24,4.6,4.6,75247
AZ,10,10.1,10.1,33778
AZ,12,8.1,8.1,36364
AZ,14,6.6,6.5,38268
AZ,18,4.9,5.0,45297
AZ,20,7.0,6.7,52038
AZ,22,3.8,3.8,58873
AZ,24,4.0,4.0,64456
AR,10,7.9,8.0,32218
AR,12,7.2,7.2,36289
AR,14,5.6,5.5,38220
AR,18,3.6,3.7,43031
AR,20,5.4,5.1,47100
AR,22,3.2,3.1,55299
AR,24,3.6,3.7,59663
CA,10,12.3,12.3,43137
CA,12,9.9,9.8,47793
CA,14,7.2,7.1,50617
CA,18,4.3,4.3,60984
CA,20,9.3,9.0,70065
CA,22,4.1,4.3,76741
CA,24,5.4,5.4,85518
CO,10,9.4,9.4,40827
CO,12,7.6,7.5,45495
CO,14,4.3,4.2,50251
CO,18,3.1,3.1,57798
CO,20,6.2,6.2,64671
CO,22,2.9,2.9,76544
CO,24,4.3,4.3,82705
CT,10,9.5,9.6,61392
CT,12,8.4,8.3,63556
CT,14,6.3,6.2,64484
CT,18,3.7,3.7,72159
CT,20,7.9,7.5,76779
CT,22,3.7,3.6,84777
CT,24,3.4,3.5,93235
DE,10,8.0,8.0,41100
DE,12,6.9,6.9,43771
DE,14,5.3,5.2,45359
DE,18,3.5,3.5,52670
DE,20,5.2,5.4,55497
DE,22,4.2,4.1,63890
DE,24,3.9,4.0,69282
FL,10,11.2,11.2,38779
FL,12,8.3,8.2,41211
FL,14,6.1,6.0,42877
FL,18,3.5,3.5,51015
FL,20,6.9,6.5,56539
FL,22,2.9,2.9,64171
FL,24,3.5,3.5,70390
GA,10,10.4,10.4,34740
GA,12,8.7,8.7,37250
GA,14,6.8,6.7,39550
GA,18,3.9,3.9,46624
GA,20,5.6,5.3,51460
GA,22,3.2,3.2,57193
GA,24,3.5,3.4,62393
HI,10,6.7,6.7,41498
HI,12,5.3,5.2,43523
HI,14,4.0,3.9,45445
HI,18,2.6,2.7,51554
HI,20,11.3,10.5,56995
HI,22,3.3,3.2,62522
HI,24,2.7,2.7,69520
ID,10,8.9,8.9,31948
ID,12,7.3,7.1,34812
ID,14,4.0,3.9,37107
ID,18,2.9,3.0,43254
ID,20,4.4,4.2,49607
ID,22,3.0,3.0,56984
ID,24,3.6,3.6,61836
IL,10,9.8,9.7,42107
IL,12,9.0,9.0,45934
IL,14,6.5,6.3,48536
IL,18,4.4,4.5,56077
IL,20,8.2,7.8,61542
IL,22,4.6,4.5,68352
IL,24,4.9,4.8,74197
IN,10,9.6,9.5,35590
IN,12,8.2,8.2,39148
IN,14,5.7,5.6,40719
IN,18,3.5,3.6,46555
IN,20,5.6,5.2,51736
IN,22,3.2,3.2,58867
IN,24,4.1,4.1,63802
IA,10,6.0,5.9,38190
IA,12,4.9,4.9,42539
IA,14,4.1,4.0,44120
IA,18,2.5,2.6,48773
IA,20,4.2,4.2,52621
IA,22,3.1,3.1,61515
IA,24,3.4,3.5,63573
KS,10,6.9,6.9,39821
KS,12,5.5,5.6,44913
KS,14,4.3,4.3,46289
KS,18,3.3,3.3,50282
KS,20,4.9,4.6,55100
KS,22,3.0,3.0,62313
KS,24,3.7,3.7,68038
KY,10,10.0,10.0,33187
KY,12,8.1,8.1,35630
KY,14,5.7,5.6,37225
KY,18,4.2,4.2,41658
KY,20,4.8,4.8,47052
KY,22,4.1,4.1,52615
KY,24,4.9,4.9,57526
LA,10,7.7,7.8,38067
LA,12,6.4,6.4,40662
LA,14,6.8,6.8,42533
LA,18,4.8,4.8,45465
LA,20,8.0,7.6,50133
LA,22,3.5,3.5,55661
LA,24,4.5,4.4,61332
ME,10,8.2,8.2,38018
ME,12,7.1,7.1,39992
ME,14,5.3,5.2,41137
ME,18,3.3,3.3,47729
ME,20,3.8,3.9,54295
ME,22,2.7,2.7,61620
ME,24,3.2,3.2,68129
MD,10,7.7,7.6,49616
MD,12,6.8,6.8,52481
MD,14,5.5,5.5,53075
MD,18,3.7,3.7,59915
MD,20,6.7,6.6,64840
MD,22,2.8,2.6,71013
MD,24,3.3,3.4,78538
MA,10,7.8,7.8,52707
MA,12,6.7,6.7,56259
MA,14,5.5,5.4,58129
MA,18,3.3,3.3,69191
MA,20,8.4,7.8,77470
MA,22,3.7,3.6,85712
MA,24,4.1,4.1,93927
MI,10,11.8,11.5,35635
